issue_id,issue_type,status,priority,assignee,created_at,resolved_at,time_spent_hours,comments,description
PROJ-17,Story,Done,Medium,bob,2024-11-25 22:25:21,2024-12-05 06:25:21,39.0,7,Generated bug related to project feature development.
PROJ-18,Task,Done,Medium,bob,2024-11-26 08:25:21,2024-12-05 03:25:21,59.0,10,Generated epic related to project feature development.
PROJ-19,Bug,Done,Medium,bob,2024-11-27 21:25:21,2024-12-04 17:25:21,83.0,0,Generated task related to project feature development.
PROJ-20,Epic,Done,Medium,dave,2024-11-29 15:25:21,,,17,Generated epic related to project feature development.
PROJ-21,Story,In Progress,High,eve,2024-12-01 09:25:21,,,2,Generated task related to project feature development.
PROJ-22,Task,To Do,Critical,charlie,2024-12-02 01:25:21,,,8,Generated epic related to project feature development.
PROJ-23,Story,Done,Medium,alice,2024-12-03 21:25:21,2024-12-09 16:25:21,94.0,3,Generated bug related to project feature development.
PROJ-24,Bug,Done,Medium,alice,2024-12-05 04:25:21,2024-12-09 15:25:21,80.0,8,Generated story related to project feature development.
PROJ-25,Bug,Done,High,alice,2024-12-05 22:25:21,2024-12-10 13:25:21,77.0,1,Generated bug related to project feature development.
PROJ-26,Bug,In Progress,High,bob,2024-12-07 04:25:21,,,16,Generated epic related to project feature development.
PROJ-27,Bug,Done,Low,charlie,2024-12-07 18:25:21,2024-12-10 14:25:21,23.0,15,Generated bug related to project feature development.
PROJ-28,Epic,Done,Medium,eve,2024-12-09 11:25:21,2024-12-12 04:25:21,54.0,9,Generated epic related to project feature development.
PROJ-29,Epic,Done,Medium,dave,2024-12-09 12:25:21,2024-12-15 08:25:21,41.0,18,Generated bug related to project feature development.
PROJ-30,Bug,Done,Low,charlie,2024-12-10 20:25:21,2024-12-12 10:25:21,89.0,0,Generated story related to project feature development.
PROJ-31,Task,Done,Medium,bob,2024-12-12 15:25:21,2024-12-21 16:25:21,47.0,5,Generated story related to project feature development.
PROJ-32,Story,Done,High,bob,2024-12-13 23:25:21,2024-12-22 20:25:21,14.0,7,Generated task related to project feature development.
PROJ-33,Bug,Done,Medium,alice,2024-12-14 06:25:21,2024-12-21 11:25:21,92.0,5,Generated task related to project feature development.
PROJ-34,Task,Done,Critical,charlie,2024-12-16 03:25:21,2024-12-22 01:25:21,112.0,1,Generated task related to project feature development.
PROJ-35,Story,Done,Low,charlie,2024-12-17 11:25:21,2024-12-25 10:25:21,26.0,2,Generated story related to project feature development.
PROJ-36,Task,To Do,High,bob,2024-12-19 03:25:21,,,15,Generated story related to project feature development.
PROJ-37,Task,Done,Medium,eve,2024-12-19 14:25:21,2024-12-26 07:25:21,78.0,12,Generated bug related to project feature development.
PROJ-38,Bug,Done,Critical,eve,2024-12-20 17:25:21,2024-12-23 09:25:21,34.0,8,Generated task related to project feature development.
PROJ-39,Bug,Done,Low,dave,2024-12-21 04:25:21,2024-12-28 21:25:21,8.0,11,Generated story related to project feature development.
PROJ-40,Bug,Done,Low,charlie,2024-12-23 01:25:21,2025-01-01 02:25:21,104.0,10,Generated bug related to project feature development.
PROJ-41,Story,Done,Critical,eve,2024-12-24 13:25:21,2024-12-26 05:25:21,90.0,18,Generated story related to project feature development.
PROJ-42,Story,Done,Critical,dave,2024-12-24 18:25:21,2025-01-03 17:25:21,51.0,20,Generated bug related to project feature development.
PROJ-43,Task,Done,Medium,charlie,2024-12-24 21:25:21,2024-12-28 02:25:21,117.0,7,Generated story related to project feature development.
PROJ-44,Task,Done,Critical,eve,2024-12-25 07:25:21,2024-12-27 17:25:21,51.0,6,Generated epic related to project feature development.
PROJ-45,Task,Done,High,charlie,2024-12-25 17:25:21,2024-12-27 02:25:21,25.0,5,Generated epic related to project feature development.
PROJ-46,Story,Review,Critical,bob,2024-12-27 02:25:21,,,3,Generated task related to project feature development.
PROJ-47,Bug,Done,High,dave,2024-12-27 13:25:21,2025-01-01 08:25:21,21.0,5,Generated task related to project feature development.
PROJ-48,Story,In Progress,High,alice,2024-12-28 05:25:21,,,4,Generated task related to project feature development.
PROJ-49,Story,Done,Low,dave,2024-12-28 20:25:21,,,15,Generated story related to project feature development.
PROJ-50,Task,Done,Low,eve,2024-12-30 18:25:21,2024-12-31 21:25:21,37.0,4,Generated epic related to project feature development.
PROJ-51,Bug,Done,Low,bob,2025-01-01 06:25:21,2025-01-03 19:25:21,56.0,8,Generated story related to project feature development.
PROJ-52,Task,Review,High,bob,2025-01-02 04:25:21,,,6,Generated task related to project feature development.
PROJ-53,Task,Done,Critical,eve,2025-01-03 09:25:21,2025-01-06 18:25:21,77.0,0,Generated epic related to project feature development.
PROJ-54,Task,Done,High,eve,2025-01-04 13:25:21,2025-01-08 00:25:21,24.0,2,Generated epic related to project feature development.
PROJ-55,Bug,Done,Critical,eve,2025-01-05 23:25:21,,,7,Generated task related to project feature development.
PROJ-56,Task,Done,Medium,dave,2025-01-07 04:25:21,2025-01-17 03:25:21,45.0,7,Generated epic related to project feature development.
PROJ-57,Epic,Done,Critical,alice,2025-01-07 08:25:21,2025-01-15 15:25:21,51.0,2,Generated task related to project feature development.
PROJ-58,Story,Done,Low,alice,2025-01-07 17:25:21,2025-01-10 00:25:21,88.0,7,Generated bug related to project feature development.
PROJ-59,Epic,Done,Low,dave,2025-01-09 14:25:21,2025-01-13 02:25:21,44.0,8,Generated epic related to project feature development.
PROJ-60,Story,Done,Low,alice,2025-01-11 00:25:21,2025-01-17 00:25:21,6.0,13,Generated epic related to project feature development.
PROJ-61,Epic,Done,Medium,charlie,2025-01-11 18:25:21,2025-01-12 08:25:21,66.0,15,Generated bug related to project feature development.
PROJ-62,Task,Done,Medium,charlie,2025-01-13 12:25:21,2025-01-18 09:25:21,10.0,11,Generated task related to project feature development.
PROJ-63,Epic,Done,Medium,charlie,2025-01-14 09:25:21,2025-01-23 01:25:21,75.0,7,Generated epic related to project feature development.
PROJ-64,Task,Done,Low,charlie,2025-01-15 08:25:21,2025-01-18 15:25:21,105.0,3,Generated bug related to project feature development.
PROJ-65,Bug,Done,Low,eve,2025-01-17 01:25:21,,,14,Generated bug related to project feature development.
PROJ-66,Story,Done,High,charlie,2025-01-19 00:25:21,2025-01-25 13:25:21,27.0,14,Generated story related to project feature development.
PROJ-67,Bug,Done,High,alice,2025-01-20 00:25:21,2025-01-21 08:25:21,54.0,20,Generated epic related to project feature development.
PROJ-68,Epic,Review,Low,dave,2025-01-21 02:25:21,,,2,Generated epic related to project feature development.
PROJ-69,Epic,Done,Medium,alice,2025-01-22 20:25:21,2025-01-27 01:25:21,59.0,15,Generated epic related to project feature development.
PROJ-70,Epic,Done,High,dave,2025-01-22 21:25:21,,,14,Generated task related to project feature development.
PROJ-71,Task,To Do,High,eve,2025-01-24 09:25:21,,,0,Generated bug related to project feature development.
PROJ-72,Story,Done,Critical,eve,2025-01-25 12:25:21,2025-01-31 12:25:21,107.0,15,Generated story related to project feature development.
PROJ-73,Bug,In Progress,Low,bob,2025-01-25 23:25:21,,,2,Generated bug related to project feature development.
PROJ-74,Epic,Done,Medium,alice,2025-01-27 12:25:21,2025-01-28 08:25:21,58.0,8,Generated story related to project feature development.
PROJ-75,Story,Done,Medium,dave,2025-01-28 14:25:21,2025-02-07 07:25:21,82.0,0,Generated bug related to project feature development.
PROJ-76,Task,To Do,Medium,bob,2025-01-29 03:25:21,,,12,Generated task related to project feature development.
PROJ-77,Story,Done,Low,dave,2025-01-29 12:25:21,2025-02-02 11:25:21,119.0,17,Generated story related to project feature development.
PROJ-78,Story,Done,High,bob,2025-01-30 22:25:21,,,4,Generated story related to project feature development.
PROJ-79,Story,Done,Low,eve,2025-01-31 17:25:21,2025-02-08 01:25:21,119.0,11,Generated epic related to project feature development.
PROJ-80,Story,Done,High,dave,2025-02-01 23:25:21,2025-02-04 20:25:21,3.0,20,Generated task related to project feature development.
PROJ-81,Story,Done,Medium,alice,2025-02-02 17:25:21,2025-02-06 18:25:21,43.0,15,Generated bug related to project feature development.
PROJ-82,Epic,Done,High,eve,2025-02-04 12:25:21,2025-02-08 23:25:21,31.0,9,Generated bug related to project feature development.
PROJ-83,Bug,Done,Medium,alice,2025-02-05 16:25:21,2025-02-12 23:25:21,20.0,11,Generated epic related to project feature development.
PROJ-84,Task,In Progress,Medium,alice,2025-02-06 07:25:21,,,3,Generated story related to project feature development.
PROJ-85,Epic,Done,Low,charlie,2025-02-07 06:25:21,,,5,Generated task related to project feature development.
PROJ-86,Story,Done,Medium,charlie,2025-02-08 10:25:21,,,12,Generated task related to project feature development.
PROJ-87,Task,Done,Low,alice,2025-02-08 16:25:21,2025-02-13 06:25:21,2.0,5,Generated epic related to project feature development.
PROJ-88,Bug,Done,Medium,eve,2025-02-09 14:25:21,2025-02-19 05:25:21,106.0,6,Generated story related to project feature development.
PROJ-89,Story,To Do,High,charlie,2025-02-10 01:25:21,,,16,Generated story related to project feature development.
PROJ-90,Epic,In Progress,Medium,dave,2025-02-11 13:25:21,,,9,Generated story related to project feature development.
PROJ-91,Story,Done,Medium,dave,2025-02-13 05:25:21,2025-02-19 19:25:21,70.0,11,Generated story related to project feature development.
PROJ-92,Bug,Done,Medium,charlie,2025-02-13 14:25:21,2025-02-21 20:25:21,2.0,15,Generated bug related to project feature development.
PROJ-93,Epic,Done,High,bob,2025-02-14 23:25:21,2025-02-24 03:25:21,70.0,15,Generated story related to project feature development.
PROJ-94,Story,Done,Medium,eve,2025-02-15 22:25:21,,,0,Generated bug related to project feature development.
PROJ-95,Epic,Done,Critical,dave,2025-02-16 22:25:21,2025-02-20 18:25:21,18.0,16,Generated epic related to project feature development.
PROJ-96,Story,Done,High,dave,2025-02-17 19:25:21,2025-02-27 06:25:21,51.0,4,Generated epic related to project feature development.
PROJ-97,Task,Done,Critical,eve,2025-02-19 08:25:21,2025-02-23 11:25:21,110.0,1,Generated story related to project feature development.
PROJ-98,Story,Done,Critical,eve,2025-02-21 01:25:21,2025-02-27 04:25:21,18.0,11,Generated bug related to project feature development.
PROJ-99,Epic,Done,Medium,charlie,2025-02-21 23:25:21,2025-02-23 11:25:21,57.0,5,Generated epic related to project feature development.
PROJ-100,Story,Done,Critical,dave,2025-02-23 00:25:21,2025-02-27 14:25:21,7.0,2,Generated bug related to project feature development.
PROJ-101,Bug,Done,Medium,dave,2025-02-23 08:25:21,,,11,Generated bug related to project feature development.
PROJ-102,Story,Done,High,dave,2025-02-24 02:25:21,2025-02-27 13:25:21,71.0,10,Generated story related to project feature development.
PROJ-103,Task,Done,Medium,alice,2025-02-24 03:25:21,2025-03-04 18:25:21,107.0,20,Generated epic related to project feature development.
PROJ-104,Story,Done,High,alice,2025-02-24 06:25:21,2025-02-26 05:25:21,27.0,6,Generated epic related to project feature development.
PROJ-105,Story,In Progress,High,alice,2025-02-25 06:25:21,,,7,Generated task related to project feature development.
PROJ-106,Story,In Progress,Low,dave,2025-02-25 23:25:21,,,20,Generated story related to project feature development.
PROJ-107,Epic,Done,High,charlie,2025-02-26 17:25:21,2025-03-01 20:25:21,43.0,17,Generated task related to project feature development.
PROJ-108,Bug,Done,High,alice,2025-02-27 06:25:21,2025-03-02 02:25:21,61.0,14,Generated epic related to project feature development.
PROJ-109,Epic,Review,Low,charlie,2025-03-01 04:25:21,,,2,Generated epic related to project feature development.
PROJ-110,Story,Done,Medium,charlie,2025-03-02 22:25:21,2025-03-03 14:25:21,31.0,8,Generated task related to project feature development.
PROJ-111,Bug,To Do,High,charlie,2025-03-03 09:25:21,,,16,Generated epic related to project feature development.
PROJ-112,Epic,Done,Low,eve,2025-03-05 03:25:21,2025-03-11 19:25:21,87.0,17,Generated bug related to project feature development.
PROJ-113,Epic,Done,Low,dave,2025-03-06 15:25:21,2025-03-08 01:25:21,99.0,6,Generated epic related to project feature development.
PROJ-114,Task,Review,Medium,bob,2025-03-07 06:25:21,,,10,Generated story related to project feature development.
PROJ-115,Epic,Done,Critical,charlie,2025-03-08 20:25:21,2025-03-17 17:25:21,23.0,16,Generated bug related to project feature development.
PROJ-116,Task,Done,Critical,dave,2025-03-09 20:25:21,2025-03-14 03:25:21,9.0,6,Generated epic related to project feature development.
PROJ-117,Epic,Review,Critical,alice,2025-03-10 22:25:21,,,2,Generated bug related to project feature development.
PROJ-118,Task,Review,High,eve,2025-03-11 21:25:21,,,8,Generated task related to project feature development.
PROJ-119,Story,Review,High,charlie,2025-03-12 07:25:21,,,1,Generated task related to project feature development.
PROJ-120,Epic,Done,High,alice,2025-03-12 13:25:21,2025-03-16 16:25:21,6.0,10,Generated epic related to project feature development.
PROJ-121,Story,Done,Critical,eve,2025-03-13 00:25:21,2025-03-13 14:25:21,87.0,1,Generated story related to project feature development.
PROJ-122,Task,To Do,Critical,alice,2025-03-14 13:25:21,,,20,Generated task related to project feature development.
PROJ-123,Epic,In Progress,Low,charlie,2025-03-15 23:25:21,,,6,Generated epic related to project feature development.
PROJ-124,Story,Done,High,bob,2025-03-17 13:25:21,2025-03-19 00:25:21,24.0,17,Generated story related to project feature development.
PROJ-125,Task,Done,High,alice,2025-03-19 01:25:21,2025-03-28 18:25:21,98.0,18,Generated story related to project feature development.
PROJ-126,Story,In Progress,Critical,bob,2025-03-19 12:25:21,,,20,Generated bug related to project feature development.
PROJ-127,Story,Done,Low,dave,2025-03-21 11:25:21,2025-03-29 23:25:21,86.0,16,Generated epic related to project feature development.
PROJ-128,Epic,Done,Low,alice,2025-03-22 03:25:21,2025-03-25 01:25:21,20.0,13,Generated task related to project feature development.
PROJ-129,Bug,Done,Medium,charlie,2025-03-22 05:25:21,2025-03-29 22:25:21,36.0,7,Generated epic related to project feature development.
PROJ-130,Story,Done,High,eve,2025-03-23 07:25:21,2025-03-26 21:25:21,80.0,9,Generated task related to project feature development.
PROJ-131,Task,Done,Medium,alice,2025-03-24 00:25:21,2025-03-30 17:25:21,94.0,13,Generated epic related to project feature development.
PROJ-132,Epic,Done,High,eve,2025-03-25 03:25:21,2025-04-02 21:25:21,13.0,10,Generated bug related to project feature development.
PROJ-133,Bug,Review,High,dave,2025-03-25 19:25:21,,,4,Generated bug related to project feature development.
PROJ-134,Story,Done,Medium,charlie,2025-03-26 08:25:21,2025-04-03 04:25:21,63.0,0,Generated epic related to project feature development.
PROJ-135,Bug,Done,Medium,eve,2025-03-26 20:25:21,2025-04-05 00:25:21,105.0,14,Generated story related to project feature development.
PROJ-136,Task,Done,Medium,bob,2025-03-28 04:25:21,2025-04-05 22:25:21,98.0,20,Generated story related to project feature development.
PROJ-137,Bug,Done,High,dave,2025-03-28 16:25:21,2025-03-31 03:25:21,30.0,8,Generated epic related to project feature development.
PROJ-138,Bug,Done,Critical,alice,2025-03-30 08:25:21,,,18,Generated epic related to project feature development.
PROJ-139,Epic,Done,Critical,dave,2025-03-30 16:25:21,2025-04-09 04:25:21,97.0,2,Generated bug related to project feature development.
PROJ-140,Story,Done,High,alice,2025-03-31 13:25:21,,,7,Generated epic related to project feature development.
PROJ-141,Task,Done,High,dave,2025-03-31 21:25:21,2025-04-06 05:25:21,6.0,5,Generated task related to project feature development.
PROJ-142,Story,Done,Critical,eve,2025-04-02 20:25:21,2025-04-12 02:25:21,79.0,7,Generated story related to project feature development.
PROJ-143,Epic,Done,Critical,eve,2025-04-03 20:25:21,2025-04-13 12:25:21,65.0,6,Generated story related to project feature development.
PROJ-144,Task,Done,Low,bob,2025-04-04 11:25:21,2025-04-08 17:25:21,114.0,9,Generated story related to project feature development.
PROJ-145,Bug,Done,High,charlie,2025-04-05 06:25:21,2025-04-09 19:25:21,61.0,12,Generated story related to project feature development.
PROJ-146,Task,Done,Low,bob,2025-04-05 16:25:21,2025-04-08 14:25:21,78.0,14,Generated story related to project feature development.
PROJ-147,Story,Done,Critical,alice,2025-04-06 11:25:21,2025-04-10 14:25:21,40.0,4,Generated task related to project feature development.
PROJ-148,Epic,Done,Medium,bob,2025-04-08 08:25:21,2025-04-14 18:25:21,85.0,12,Generated bug related to project feature development.
PROJ-149,Task,To Do,Low,dave,2025-04-08 20:25:21,,,7,Generated epic related to project feature development.
PROJ-150,Task,Done,Low,charlie,2025-04-09 14:25:21,2025-04-18 23:25:21,100.0,11,Generated bug related to project feature development.
PROJ-151,Task,Done,High,charlie,2025-04-09 21:25:21,2025-04-16 10:25:21,94.0,3,Generated epic related to project feature development.
PROJ-152,Story,To Do,High,alice,2025-04-11 03:25:21,,,7,Generated story related to project feature development.
PROJ-153,Bug,To Do,Low,eve,2025-04-11 09:25:21,,,14,Generated bug related to project feature development.
PROJ-154,Task,Done,Medium,alice,2025-04-11 16:25:21,2025-04-12 15:25:21,27.0,1,Generated epic related to project feature development.
PROJ-155,Bug,Review,Low,alice,2025-04-12 11:25:21,,,16,Generated bug related to project feature development.
PROJ-156,Bug,Done,Low,alice,2025-04-12 16:25:21,,,14,Generated task related to project feature development.
PROJ-157,Epic,Done,High,dave,2025-04-12 18:25:21,2025-04-15 09:25:21,26.0,17,Generated task related to project feature development.
PROJ-158,Epic,In Progress,Low,bob,2025-04-13 03:25:21,,,17,Generated epic related to project feature development.
PROJ-159,Epic,Done,High,eve,2025-04-14 07:25:21,,,0,Generated story related to project feature development.
PROJ-160,Epic,Done,High,charlie,2025-04-15 03:25:21,2025-04-19 15:25:21,43.0,15,Generated task related to project feature development.
PROJ-161,Task,Review,Critical,eve,2025-04-17 02:25:21,,,19,Generated bug related to project feature development.
PROJ-162,Epic,In Progress,High,bob,2025-04-18 07:25:21,,,9,Generated epic related to project feature development.
PROJ-163,Bug,Done,Low,charlie,2025-04-19 10:25:21,2025-04-22 14:25:21,120.0,3,Generated bug related to project feature development.
PROJ-164,Story,Done,Critical,charlie,2025-04-20 07:25:21,2025-04-29 02:25:21,64.0,8,Generated epic related to project feature development.
PROJ-165,Bug,Done,Critical,charlie,2025-04-21 06:25:21,,,18,Generated bug related to project feature development.
PROJ-166,Bug,Done,Critical,eve,2025-04-21 14:25:21,2025-04-29 01:25:21,8.0,4,Generated bug related to project feature development.
PROJ-167,Epic,Done,Low,bob,2025-04-22 18:25:21,2025-04-30 05:25:21,21.0,17,Generated story related to project feature development.
PROJ-168,Story,Done,High,dave,2025-04-23 05:25:21,2025-04-27 01:25:21,72.0,10,Generated epic related to project feature development.
PROJ-169,Epic,Done,Critical,alice,2025-04-23 19:25:21,2025-04-29 02:25:21,34.0,2,Generated bug related to project feature development.
PROJ-170,Epic,Done,High,dave,2025-04-25 18:25:21,2025-04-26 05:25:21,70.0,2,Generated story related to project feature development.
PROJ-171,Story,Done,High,eve,2025-04-26 19:25:21,2025-05-01 08:25:21,6.0,2,Generated task related to project feature development.
PROJ-172,Epic,Done,Critical,eve,2025-04-27 15:25:21,2025-05-02 00:25:21,46.0,12,Generated bug related to project feature development.
PROJ-173,Story,Done,Medium,alice,2025-04-28 14:25:21,,,11,Generated bug related to project feature development.
PROJ-174,Task,Done,Low,alice,2025-04-29 14:25:21,2025-05-03 13:25:21,49.0,3,Generated task related to project feature development.
PROJ-175,Bug,Done,High,charlie,2025-05-01 04:25:21,2025-05-08 23:25:21,119.0,8,Generated epic related to project feature development.
PROJ-176,Story,Done,Low,dave,2025-05-02 16:25:21,2025-05-04 04:25:21,59.0,2,Generated epic related to project feature development.
PROJ-177,Task,Done,Critical,alice,2025-05-03 02:25:21,2025-05-11 07:25:21,71.0,12,Generated epic related to project feature development.
PROJ-178,Epic,Done,High,charlie,2025-05-04 13:25:21,2025-05-08 00:25:21,2.0,8,Generated task related to project feature development.
PROJ-179,Epic,Done,High,dave,2025-05-06 08:25:21,2025-05-13 20:25:21,115.0,16,Generated task related to project feature development.
PROJ-180,Story,Done,Medium,alice,2025-05-07 01:25:21,2025-05-15 22:25:21,112.0,6,Generated story related to project feature development.
PROJ-181,Story,Done,Medium,eve,2025-05-09 00:25:21,2025-05-18 05:25:21,78.0,15,Generated epic related to project feature development.
PROJ-182,Bug,Done,Low,bob,2025-05-10 18:25:21,2025-05-17 17:25:21,107.0,6,Generated epic related to project feature development.
PROJ-183,Bug,Review,Critical,dave,2025-05-12 00:25:21,,,19,Generated story related to project feature development.
PROJ-184,Task,Done,Low,eve,2025-05-12 14:25:21,2025-05-18 11:25:21,85.0,6,Generated epic related to project feature development.
PROJ-185,Bug,Done,Medium,bob,2025-05-12 16:25:21,2025-05-17 18:25:21,66.0,4,Generated epic related to project feature development.
PROJ-186,Task,Done,Low,bob,2025-05-13 22:25:21,2025-05-22 20:25:21,54.0,10,Generated task related to project feature development.
PROJ-187,Bug,Done,Medium,eve,2025-05-14 14:25:21,,,0,Generated epic related to project feature development.
PROJ-188,Epic,In Progress,Medium,eve,2025-05-15 01:25:21,,,7,Generated epic related to project feature development.
PROJ-189,Story,Done,Critical,bob,2025-05-15 13:25:21,2025-05-16 11:25:21,44.0,16,Generated epic related to project feature development.
PROJ-190,Epic,Done,High,charlie,2025-05-16 12:25:21,2025-05-20 07:25:21,65.0,19,Generated epic related to project feature development.
PROJ-191,Epic,Done,Low,dave,2025-05-17 19:25:21,2025-05-25 12:25:21,114.0,4,Generated epic related to project feature development.
PROJ-192,Epic,Done,Low,dave,2025-05-19 10:25:21,2025-05-25 15:25:21,82.0,10,Generated bug related to project feature development.
PROJ-193,Bug,To Do,Medium,dave,2025-05-19 18:25:21,,,2,Generated story related to project feature development.
PROJ-194,Task,Done,Low,alice,2025-05-21 09:25:21,2025-05-25 22:25:21,102.0,15,Generated story related to project feature development.
PROJ-195,Story,Done,High,eve,2025-05-22 19:25:21,2025-06-01 17:25:21,113.0,14,Generated story related to project feature development.
PROJ-196,Epic,Done,High,eve,2025-05-23 18:25:21,2025-05-26 15:25:21,64.0,19,Generated epic related to project feature development.
PROJ-197,Bug,To Do,Low,alice,2025-05-25 05:25:21,,,7,Generated task related to project feature development.
PROJ-198,Story,Review,High,eve,2025-05-25 21:25:21,,,2,Generated bug related to project feature development.
PROJ-199,Bug,Done,Low,dave,2025-05-26 05:25:21,2025-05-30 15:25:21,56.0,12,Generated bug related to project feature development.
PROJ-200,Epic,Done,High,charlie,2025-05-27 08:25:21,2025-06-05 04:25:21,12.0,10,Generated task related to project feature development.
PROJ-201,Task,Done,Medium,alice,2025-05-29 06:25:21,2025-06-02 19:25:21,43.0,9,Generated epic related to project feature development.
PROJ-202,Bug,Done,High,bob,2025-05-31 04:25:21,2025-06-08 07:25:21,8.0,8,Generated epic related to project feature development.
PROJ-203,Bug,Done,Low,bob,2025-05-31 08:25:21,2025-06-08 12:25:21,67.0,16,Generated bug related to project feature development.
PROJ-204,Story,Done,High,alice,2025-06-01 10:25:21,,,15,Generated bug related to project feature development.
PROJ-205,Bug,Done,Low,eve,2025-06-03 08:25:21,2025-06-12 08:25:21,77.0,6,Generated epic related to project feature development.
PROJ-206,Epic,In Progress,Critical,eve,2025-06-04 12:25:21,,,6,Generated task related to project feature development.
PROJ-207,Task,Done,Low,alice,2025-06-04 14:25:21,,,20,Generated epic related to project feature development.
PROJ-208,Epic,Done,Low,alice,2025-06-05 04:25:21,2025-06-11 01:25:21,33.0,20,Generated bug related to project feature development.
PROJ-209,Epic,Done,High,alice,2025-06-06 14:25:21,2025-06-08 12:25:21,4.0,7,Generated bug related to project feature development.
PROJ-210,Task,Done,Critical,alice,2025-06-07 20:25:21,2025-06-09 20:25:21,23.0,11,Generated task related to project feature development.
PROJ-211,Story,Done,High,dave,2025-06-08 21:25:21,2025-06-13 03:25:21,15.0,16,Generated story related to project feature development.
PROJ-212,Story,Done,High,alice,2025-06-10 06:25:21,2025-06-12 06:25:21,46.0,3,Generated epic related to project feature development.
PROJ-213,Epic,Done,High,eve,2025-06-11 03:25:21,2025-06-19 17:25:21,26.0,16,Generated task related to project feature development.
PROJ-214,Epic,Done,High,bob,2025-06-11 12:25:21,2025-06-16 08:25:21,17.0,4,Generated epic related to project feature development.
PROJ-215,Task,Done,Medium,eve,2025-06-13 10:25:21,2025-06-16 05:25:21,111.0,4,Generated bug related to project feature development.
PROJ-216,Story,In Progress,Critical,bob,2025-06-13 22:25:21,,,6,Generated story related to project feature development.
PROJ-217,Bug,Review,Medium,dave,2025-06-15 11:25:21,,,15,Generated task related to project feature development.
PROJ-218,Epic,To Do,Medium,bob,2025-06-17 01:25:21,,,2,Generated story related to project feature development.
PROJ-219,Story,Done,Critical,eve,2025-06-18 09:25:21,2025-06-20 01:25:21,26.0,14,Generated story related to project feature development.
PROJ-220,Bug,Done,Low,eve,2025-06-19 18:25:21,2025-06-27 17:25:21,56.0,12,Generated task related to project feature development.
PROJ-221,Task,Done,Medium,alice,2025-06-21 18:25:21,2025-06-24 04:25:21,96.0,11,Generated story related to project feature development.
PROJ-222,Task,Done,Low,dave,2025-06-23 11:25:21,,,19,Generated story related to project feature development.
PROJ-223,Task,Done,Medium,charlie,2025-06-25 10:25:21,2025-07-04 19:25:21,63.0,1,Generated epic related to project feature development.
PROJ-224,Task,Done,High,charlie,2025-06-27 01:25:21,2025-06-30 18:25:21,56.0,8,Generated bug related to project feature development.
PROJ-225,Task,Done,Critical,dave,2025-06-27 18:25:21,2025-07-06 20:25:21,120.0,20,Generated bug related to project feature development.
PROJ-226,Story,Done,Low,eve,2025-06-27 23:25:21,2025-06-29 22:25:21,35.0,5,Generated story related to project feature development.
PROJ-227,Epic,Done,Medium,dave,2025-06-28 07:25:21,2025-07-01 04:25:21,73.0,3,Generated bug related to project feature development.
PROJ-228,Story,Done,High,dave,2025-06-28 20:25:21,2025-07-04 02:25:21,118.0,11,Generated bug related to project feature development.
PROJ-229,Bug,Done,High,dave,2025-06-29 10:25:21,,,11,Generated epic related to project feature development.
PROJ-230,Epic,Done,Medium,dave,2025-06-30 21:25:21,2025-07-06 11:25:21,66.0,18,Generated bug related to project feature development.
PROJ-231,Bug,Review,Critical,eve,2025-07-02 04:25:21,,,8,Generated bug related to project feature development.
